Gene,Collapsing model,P value,No. participants,No. cases with QV,% cases with QV,No. controls with QV,% controls with QV,Odds ratio,Odds ratio LCI,Odds ratio UCI
MGLL,flexnonsynmtr,0.0905,146157,1,0.02,276,0.00188902653534738,10.7831,1.4837,78.3668
ERFE,flexnonsynmtr,0.0899,146157,1,0.02,274,0.00187533793726515,10.862,1.4946,78.9419
ZC3HC1,flexnonsynmtr,0.0899,146157,1,0.02,274,0.00187533793726515,10.862,1.4946,78.9419
TTLL1,flexnonsynmtr,0.0899,146157,1,0.02,274,0.00187533793726515,10.862,1.4946,78.9419
ZBTB1,flexnonsynmtr,0.0899,146157,1,0.02,274,0.00187533793726515,10.862,1.4946,78.9419
TCIRG1,flexnonsynmtr,0.0897,146157,2,0.04,1462,0.0100063651981082,4.1223,1.001,16.9772
PRELID3A,flexnonsynmtr,0.0896,146157,1,0.02,273,0.00186849363822404,10.9018,1.5,79.2326
FGF3,flexnonsynmtr,0.0896,146157,1,0.02,273,0.00186849363822404,10.9018,1.5,79.2326
C19ORF66,flexnonsynmtr,0.0893,146157,1,0.02,272,0.00186164933918293,10.942,1.5055,79.5255
SFTPD,flexnonsynmtr,0.0893,146157,1,0.02,272,0.00186164933918293,10.942,1.5055,79.5255
KCNC2,flexnonsynmtr,0.0893,146157,1,0.02,272,0.00186164933918293,10.942,1.5055,79.5255
LAMA5,flexnonsynmtr,0.0891,146157,4,0.08,4953,0.0338998131506362,2.4781,0.8917,6.8869
SLC29A1,flexnonsynmtr,0.0889,146157,1,0.02,271,0.00185480504014181,10.9825,1.5111,79.8206
MAL,flexnonsynmtr,0.0889,146157,1,0.02,271,0.00185480504014181,10.9825,1.5111,79.8206
TBC1D23,flexnonsynmtr,0.0886,146157,1,0.02,270,0.0018479607411007,11.0232,1.5167,80.1178
IPPK,flexnonsynmtr,0.0886,146157,1,0.02,270,0.0018479607411007,11.0232,1.5167,80.1178
GRK2,flexnonsynmtr,0.0886,146157,1,0.02,270,0.0018479607411007,11.0232,1.5167,80.1178
MAT2B,flexnonsynmtr,0.0883,146157,1,0.02,269,0.00184111644205959,11.0643,1.5223,80.4173
C11ORF74,flexnonsynmtr,0.0883,146157,1,0.02,269,0.00184111644205959,11.0643,1.5223,80.4173
NTN4,flexnonsynmtr,0.0883,146157,1,0.02,269,0.00184111644205959,11.0643,1.5223,80.4173
KCNRG,flexnonsynmtr,0.0883,146157,1,0.02,269,0.00184111644205959,11.0643,1.5223,80.4173
ATL2,flexnonsynmtr,0.088,146157,1,0.02,268,0.00183427214301847,11.1056,1.528,80.719
LYPD4,flexnonsynmtr,0.088,146157,1,0.02,268,0.00183427214301847,11.1056,1.528,80.719
TRAPPC1,flexnonsynmtr,0.0877,146157,1,0.02,267,0.00182742784397736,11.1473,1.5337,81.0229
KCTD12,flexnonsynmtr,0.0874,146157,1,0.02,266,0.00182058354493625,11.1893,1.5394,81.3292
SDR39U1,flexnonsynmtr,0.0871,146157,1,0.02,265,0.00181373924589513,11.2316,1.5452,81.6378
GAK,flexnonsynmtr,0.087,146157,2,0.04,1436,0.00982841342303928,4.1977,1.0193,17.288
PSMD2,flexnonsynmtr,0.0868,146157,1,0.02,264,0.00180689494685402,11.2742,1.5511,81.9487
CABP2,flexnonsynmtr,0.0868,146157,1,0.02,264,0.00180689494685402,11.2742,1.5511,81.9487
CFAP36,flexnonsynmtr,0.0868,146157,1,0.02,264,0.00180689494685402,11.2742,1.5511,81.9487
