Gene,Collapsing model,P value,No. with QV,No. without QV,QV carrier median,QV non-carrier median,Effect size,Effect size standard error,Effect size LCI,Effect size UCI
AK8,rec,0.0236710478980326,15,254511,0.3098318,-0.00000492411,0.574173575289563,0.253785063714525,0.0767616251719221,1.0715855254072
APEX1,rec,0.0236346117014872,9,254517,-0.939379,0.00001477233,-0.741444874492023,0.327633534758093,-1.38359785647869,-0.0992918925053529
LGALS1,rec,0.0236478449580394,8,254518,1.118549,-0.00001969644,0.786338224279001,0.347504200837796,0.105239267221239,1.46743718133676
PPP1R26,rec,0.0237604641443948,775,253751,0.0547982934298032,-0.0001624956,0.0799483007220285,0.0353598009775511,0.0106440347318124,0.149252566712245
CEACAM4,rec,0.0239075853017661,29,254497,-0.2152034,0.0000443169940968792,-0.412263114998158,0.182528386631097,-0.770013880221008,-0.0545123497753084
PROB1,rec,0.0239453775483394,173,254353,0.1351984,-0.00006401344,0.168791982562986,0.074752273458415,0.0222795220877583,0.315304443038213
SNAPIN,rec,0.0239454067631396,11,254515,0.7340612,-0.00003446877,0.669175135432517,0.296355148728795,0.0883269550903862,1.25002331577465
TTC22,rec,0.0238908875425022,6,254520,0.8992212,-0.00001969644,0.906411180208698,0.401263452062799,0.119945525846902,1.69287683457049
RBM42,rec,0.0240440295327217,11,254515,-0.8570846,0.00003446877,-0.668707359979427,0.29635523844188,-1.24955571615681,-0.0878590038020448
PRSS48,rec,0.0241952009840505,11,254515,-0.7161662,0.00003446877,-0.668003060828374,0.296359589930529,-1.24885994580735,-0.0871461758494017
RESP18,rec,0.0242074968936526,15,254511,0.5064083,-0.00003446877,0.571992430378415,0.253786471832106,0.0745777203879051,1.06940714036892
UEVLD,rec,0.0242064319810302,13,254513,-0.8563312,0.00003446877,-0.614422802560996,0.272610293946263,-1.14873170139551,-0.080113903726484
VCX2,rec,0.0243532687015449,401,254125,0.277749,-0.0003594601,0.110647189815303,0.0491432600446564,0.0143277120014011,0.206966667629205
ZFP62,rec,0.0243803324072116,27,254499,-0.2686405,0.0000443169940968792,-0.425830130656548,0.189165724521628,-0.796589900961872,-0.0550703603512234
PITPNA,rec,0.0244830850740486,1,254525,2.044746,-0.00000492411,2.21096100805529,0.982878279579592,0.284545817900911,4.13737619820966
RSAD1,rec,0.0244359177742531,34,254492,0.22213855,-0.00002954466,0.379327018379707,0.168573402559665,0.0489276494101833,0.709726387349231
SCN1B,rec,0.0245325478883411,3,254523,-1.204417,0.00001477233,-1.27606260614202,0.567467229899374,-2.38828322827294,-0.163841984011101
TMPRSS4,rec,0.0246409641754196,35,254491,-0.534249,0.00006401344,-0.373335866367346,0.166148680155105,-0.698982844151614,-0.0476888885830783
CHPF2,rec,0.0248526219327822,422,254104,0.07936678,-0.00016741975,0.107441558856238,0.0478859028426031,0.0135864675933563,0.201296650119121
MDH2,rec,0.0247904234132731,3,254523,1.139034,-0.00000492411,1.27379517728293,0.567476431532568,0.161556520196587,2.38603383436927
ZSWIM8,rec,0.0247969950293904,63,254463,-0.3057633,0.00005416522,-0.27798164199422,0.123846612924859,-0.520717697255982,-0.0352455867324574
PBRM1,rec,0.0249715910392909,26,254500,0.4391652,-0.00005908933,0.432160234936076,0.192769023425892,0.0543380949680398,0.809982374904113
PTEN,rec,0.0249960534981688,1,254525,-2.308553,0.00000492411,-2.20310287788939,0.982879994504859,-4.12952142925151,-0.276684326527273
EEF1AKMT3,rec,0.0251532415896335,16,254510,0.755779605522077,-0.00003939288,0.550195914387702,0.245726915359649,0.0685777199342821,1.03181410884112
C19ORF71,rec,0.0253666001196776,133,254393,0.166367,-0.0000935581,0.190597606594897,0.085248558756806,0.0235127071319413,0.357682506057853
HIVEP3,rec,0.0252512865167796,455,254071,-0.1194618,0.0001920403,-0.103194089200519,0.0461192357307779,-0.193586560085197,-0.0128016183158404
PLCD4,rec,0.0252774442689378,27,254499,0.6360376,-0.00005416522,0.423190093344589,0.189164884428349,0.0524319695996651,0.793948217089513
ARID5B,rec,0.0254411032667496,55,254471,0.3279861,-0.00005416522,0.296193720470149,0.132545823945975,0.0364074438314285,0.55597999710887
ATP10D,rec,0.0254261678699956,95,254431,-0.2922619,0.0001231028,-0.225411915565412,0.100860910643233,-0.423096607955843,-0.0277272231749813
FLT1,rec,0.0253856455452964,217,254309,0.121674,-0.00008370988,0.149221170458583,0.0667508007451937,0.0183913829028837,0.280050958014282
NFASC,rec,0.0254738970797053,435,254091,-0.07356851,0.0001624956,-0.105375511709338,0.04716576228426,-0.197819146701936,-0.0129318767167395
PCSK4,rec,0.0253917821070583,149,254377,0.2046927,-0.0001526474,0.18005124659817,0.0805453267738488,0.0221845562695782,0.337917936926761
TTC31,rec,0.0254306840621938,81,254445,0.1682246,-0.00007386166,0.244103400649481,0.109227805473207,0.030019817745589,0.458186983553374
UBOX5,rec,0.0254255690591941,19,254507,-0.5430274,0.00001477233,-0.503958007166381,0.225495870569275,-0.945923893896061,-0.0619921204367017
CAB39L,rec,0.0255907217380396,3,254523,-1.027433,0.00001477233,-1.26680486672508,0.567468280175118,-2.37902754736842,-0.154582186081741
EPYC,rec,0.0255849496985072,10,254516,0.35279424285555,-0.00000984822,0.693895438301017,0.310819955880323,0.0846966220782396,1.3030942545238
TONSL,rec,0.0255467593306524,216,254310,0.2102174,-0.0001280269,0.149402314179724,0.0669051584149476,0.0182699897118669,0.28053463864758
MAGEB1,rec,0.0257516347848382,682,253844,0.297009,-0.0008469471,0.0841713929633685,0.0377458665371421,0.0101905021720972,0.15815228375464
TIPARP,rec,0.0258152706969182,10,254516,0.729901305737223,-0.00003939288,0.692834162272014,0.310828390071532,0.0836188152596173,1.30204950928441
TMEM108,rec,0.0257934596701803,19,254507,0.9323747,-0.00005416522,0.502702232293753,0.225495724873605,0.0607366311236966,0.94466783346381
RNF213,rec,0.0259316731323542,4134,250392,-0.03078548,0.0006302862,-0.0343272216345277,0.0154124032573903,-0.0645351205866961,-0.00411932268235934
CHRNB2,rec,0.0260008082171633,10,254516,-0.8451705,0.00002954466,-0.691951399060697,0.310819982486121,-1.30115026743013,-0.082752530691265
POLH,rec,0.0259944477098053,68,254458,-0.3054819,0.00007878576890458,-0.265396012664852,0.119209042257258,-0.499042553217527,-0.0317494721121766
BABAM1,rec,0.0262381510850679,1,254525,-1.988348,0.00000492411,-2.18463452048859,0.982882342784237,-4.1110576744156,-0.258211366561574
DNAH9,rec,0.0262063896995476,1196,253330,0.05612985,-0.000295446621093447,0.0633323490707283,0.0284876307729873,0.00749735322967098,0.119167344911786
NIPBL,rec,0.026283430217328,69,254457,0.190964,-0.00006401344,0.262953439656244,0.118340289998679,0.0310096303391422,0.494897248973345
ZNF443,rec,0.0262793947322107,112,254414,0.290717502161164,-0.0001083304,0.206417123948247,0.092894034212149,0.0243472966878987,0.388486951208595
TAPBPL,rec,0.0263608800525023,24,254502,0.6223376,-0.00002954466,0.445591862500076,0.200638740786594,0.052345286586256,0.838838438413895
HMGCS2,rec,0.0264788904499034,45,254481,-0.3800922,0.0000443169940968792,-0.325174890192193,0.146532727436975,-0.612375124294507,-0.0379746560898785
ACOT13,rec,0.0266336332355537,70,254456,-0.4180468,0.00006893755,-0.260463990978224,0.117492376983856,-0.490745913421212,-0.030182068535236
LENG8,rec,0.0266198807263928,30,254496,-0.34753435,0.0000393928820484396,-0.3978707266081,0.179458720044269,-0.749605027265159,-0.0461364259510401
STARD7,rec,0.0266044983294223,14,254512,-0.8256802,0.0000393928820484396,-0.582470124850733,0.262695192498263,-1.09734568952965,-0.0675945601718198
PTCH2,rec,0.026709546105702,70,254456,-0.38945175,0.00008863398890458,-0.260334918474976,0.117492939489475,-0.490617943413961,-0.030051893535991
SPRR3,rec,0.0267628688818216,3,254523,-1.518351,0.00001477233,-1.25694406569635,0.567476279163696,-2.36918242414377,-0.144705707248926
B3GNTL1,rec,0.0268763588472076,25,254501,0.4130351,-0.00005416522,0.435111430084185,0.196587523736155,0.0498051314424566,0.820417728725914
CHKA,rec,0.0268526686666684,3,254523,-1.21286018081427,0.00001477233,-1.25619114322503,0.567471029800027,-2.36841921305979,-0.143963073390273
CYP3A43,rec,0.0268801380946851,444,254082,0.0679903,-0.0001083304,0.103328925237199,0.0466861579941185,0.0118253018502966,0.194832548624101
DLGAP1,rec,0.0268936754974405,17,254509,0.1903723,-0.00003446877,0.527582140844601,0.238393744061413,0.0603367663775671,0.994827515311635
NUP98,rec,0.0268282965239692,153,254373,-0.2450057,0.0001231028,-0.175980580963062,0.0794846447132835,-0.33176836276773,-0.0201927991583938
RPLP1,rec,0.0267986975315713,1,254525,-2.30223387215542,0.00000492411,-2.1765372334435,0.982879223388403,-4.10295427343795,-0.250120193449045
MYL5,rec,0.0269596234198051,13,254513,-0.4919181,0.00003446877,-0.60304022820801,0.272608025706768,-1.13734468135366,-0.0687357750623584
RPS15,rec,0.0270334074990177,1,254525,2.057579,-0.00000492411,2.17319406612323,0.98287969739197,0.246776097094444,4.09961203515202
TCEAL8,rec,0.0269171136469068,33,254493,0.6263742,-0.00008370988,0.378644379309019,0.171120873100898,0.0432520360831097,0.714036722534928
ACRBP,rec,0.0271200890781115,17,254509,-0.5794459,0.00003446877,-0.526798843556928,0.238392334854376,-0.994041456015788,-0.0595562310980687
COPB2,rec,0.0272538972911735,18,254508,0.46275165,-0.00002954466,0.511510809573544,0.231675651506788,0.0574327171748739,0.965588901972214
LYPLAL1,rec,0.0272047718950646,2,254524,1.72722452537264,-0.00000984822,1.53497214177906,0.695004168238109,0.172782525087992,2.89716175847013
HEPACAM2,rec,0.0274169239417827,58,254468,-0.2124885,0.00006893755,-0.284676141061743,0.12907305694502,-0.537655887083705,-0.0316963950397812
PHLPP2,rec,0.0275085557178285,259,254267,0.1319492,-0.0000935581,0.134688912883356,0.06110454468424,0.0149256364809755,0.254452189285736
OR4F5,rec,0.0275626048927199,6,254520,0.478380295,-0.00001969644,0.884171884661345,0.401263599297642,0.0977059417231892,1.6706378275995
RAB6B,rec,0.0275689120201833,2,254524,-1.33639469220563,0.00000984822,-1.53136279143221,0.695006406529865,-2.89355679511537,-0.16916878774905
