Gene,Collapsing model,P value,No. with QV,No. without QV,QV carrier median,QV non-carrier median,Effect size,Effect size standard error,Effect size LCI,Effect size UCI
PAX3,flexnonsyn,0.04901499586156,1812,252711,-0.04332657,0.0004136302,-0.0430225473577099,0.0218558238720697,-0.0858593787106855,-0.000185716004734368
ZC3H7B,flexnonsyn,0.0490093665987479,2096,252427,-0.042606945,0.0003545401,-0.0400251063737462,0.0203325922477429,-0.0798764444053652,-0.000173768342127123
MIEF1,flexnonsyn,0.0490940510921081,1363,253160,-0.03103709,0.00019204255,-0.0495438713335711,0.0251775026642329,-0.0988911044477215,-0.00019663821942062
PPP2CA,flexnonsyn,0.0490928663492151,53,254470,-0.3042452,0.0000935592,-0.250601363859762,0.127351442971852,-0.500206792466589,-0.000995935252934121
ELF1,flexnonsyn,0.0491619486517088,1764,252759,0.036328675,-0.0002068151,0.0435715898035008,0.0221491081399045,0.00015992911472619,0.0869832504922753
KIAA1191,flexnonsyn,0.049131269052409,765,253758,0.06224226,-0.00024128425,0.0660421459986406,0.0335672088349198,0.000251312751254881,0.131832979246026
RRM2,flexnonsyn,0.0491280658126266,907,253616,-0.0472995,0.00024128425,-0.0606706279467134,0.030836594127982,-0.121109529261644,-0.000231726631782996
SERBP1,flexnonsyn,0.0491441158468485,587,253936,0.06623908,-0.00013295255,0.0753635273311409,0.0383071540760273,0.000282527942951874,0.15044452671933
TNFSF12-TNFSF13,flexnonsyn,0.0491221381541303,779,253744,0.07202402,-0.00016249755,0.0654513225068746,0.0332655708269428,0.000251691702965337,0.130650953310784
FZD1,flexnonsyn,0.0492869963456851,1352,253171,-0.0665204081655123,0.0003643885,-0.0497014622583239,0.0252790858565246,-0.0992477957176257,-0.000155128799022131
HARBI1,flexnonsyn,0.0492812165397718,1784,252739,0.019235,-0.0001477251,0.0433055828670957,0.0220254622554242,0.000136264811203581,0.0864749009229878
CDKAL1,flexnonsyn,0.0493445982072693,1090,253433,-0.04592416,0.00027575343909658,-0.0553109088400436,0.028139289368775,-0.110463164830869,-0.000158652849217775
CHPT1,flexnonsyn,0.0494397762364562,1437,253086,-0.0287216990891859,0.00019204255,-0.0481854476724173,0.0245244925699236,-0.0962527984336786,-0.000118096911156086
GPR162,flexnonsyn,0.0494655226214487,3729,250794,0.04913342,-0.000891274615224067,0.0300448098050261,0.0152933536827794,0.00007024483940022,0.060019374770652
TPSG1,flexnonsyn,0.0495258166221661,3532,250991,0.036047795,-0.0005416586,0.0308512127664831,0.0157079869941968,0.0000639775790217088,0.0616384479539445
EXOSC10,flexnonsyn,0.0496662879600952,2474,252049,-0.03019959,0.0002560568,-0.0367619811351695,0.0187290103969841,-0.0734703415465566,-0.0000536207237824063
DHFR,flexnonsyn,0.0496904627156406,293,254230,-0.082119,0.0001231042,-0.10635297999248,0.0541890574760519,-0.212562086080894,-0.000143873904066547
FAM3C,flexnonsyn,0.0496754626758783,454,254069,0.01250774,-0.00002954501,0.0854715234677534,0.0435466580940538,0.000121236071608549,0.170821810863898
ZP2,flexnonsyn,0.049774232059665,2259,252264,0.03604287,-0.00034961595,0.0384370885649127,0.0195916830754666,0.0000379127325521589,0.0768362643972732
PBRM1,flexnonsyn,0.0498076397338161,3630,250893,0.03964009,-0.00053181022229988,0.0304001547704586,0.0154974609845463,0.0000255449419680025,0.0607747645989492
GMNC,flexnonsyn,0.049877134753348,960,253563,-0.07350025,0.0002462084,-0.058784341885857,0.0299763268197841,-0.117537142241361,-0.00003154153035307
NCOR2,flexnonsyn,0.0499000553972952,10245,244278,-0.0221113181431404,0.00098975805,-0.0183315833511543,0.00934889414582139,-0.0366551663103469,-0.00000800039196168292
BTBD11,flexnonsyn,0.0499793604512484,3097,251426,0.02972666,-0.00027082925,0.0328526895619028,0.0167602943997625,0.0000029599506411529,0.0657024191731645
RBM4B,flexnonsyn,0.0499794063851011,1441,253082,0.0616897,-0.00033976765,0.0480045503685424,0.0244902493156632,0.00000431547151572009,0.0960047852655691
MMS19,flexnonsyn,0.0502214052881131,3829,250694,-0.01607318,0.00028067761954829,-0.029557984817905,0.0150953713405977,-0.0591445096779486,0.0000285400421385085
PPP1R1A,flexnonsyn,0.0501984873340932,348,254175,-0.025766355,0.00001969667,-0.0973816860506851,0.0497282225904991,-0.194847674844395,0.0000843027430247056
FBXO4,flexnonsyn,0.0503355758640253,610,253913,0.014058975,-0.00008863503,0.0735474545384046,0.0375796136778758,-0.000107585090933976,0.147202494167743
SESN2,flexnonsyn,0.0503710303655143,2124,252399,0.05326529,-0.0005712036,0.0395261785148627,0.0201993042012761,-0.0000639185037758089,0.0791162755335012
SIPA1L2,flexnonsyn,0.0504006114821723,6250,248273,-0.02864288,0.0007681704,-0.0232298546174004,0.0118728199875937,-0.0465002648508365,0.0000405556160356924
TNFRSF10B,flexnonsyn,0.050369339819482,2036,252487,0.032830405,-0.0002856018,0.0403645470793342,0.020627589284867,-0.0000649772701689783,0.0807940714288374
HIST1H3C,flexnonsyn,0.0505239256878543,224,254299,0.18620285,-0.0001674217,0.121177457388835,0.0619671696984202,-0.000276541020471976,0.242631455798142
PCYT1A,flexnonsyn,0.0505460508406108,1541,252982,0.04675724,-0.00027082925,0.046315745348101,0.0236870048303302,-0.000110151800103014,0.0927416424963051
PDCL2,flexnonsyn,0.0505391883635411,549,253974,0.07995512,-0.00021173925,0.0774476923283708,0.0396074653302141,-0.000181882406509126,0.155077267063251
CDK2AP1,flexnonsyn,0.050643351910707,359,254164,-0.04865027,0.0000935592,-0.0956954079779773,0.0489616104138224,-0.191658857369939,0.000268041413984912
IMPAD1,flexnonsyn,0.0505936951143079,841,253682,0.0602393,-0.000182194251910838,0.0625960483820666,0.03201976163288,-0.000161829658074569,0.125353926422208
NBPF9,flexnonsyn,0.0505924581800293,51,254472,-0.2339262,0.0000935592,-0.253795309743171,0.129823239247514,-0.508245393066254,0.000654773579912504
PRAM1,flexnonsyn,0.0505933532124317,3057,251466,-0.0352544995613512,0.00029052595,-0.0329760785410068,0.0168682311017559,-0.0660373612068297,0.0000852041248160726
FSIP1,flexnonsyn,0.0507670256968172,1960,252563,0.00777534049142866,-0.00006893836,0.0410631930703071,0.021020823824779,-0.000137060480116316,0.0822634466207306
