Gene,Collapsing model,P value,No. participants,No. cases with QV,% cases with QV,No. controls with QV,% controls with QV,Odds ratio,Odds ratio LCI,Odds ratio UCI
PTPN23,flexnonsyn,0.0919,146157,7,0.0526315789473684,3851,0.0263723771434833,2.051,0.9575,4.3935
PLA2G2F,flexnonsyn,0.0919,146157,2,0.0150375939849624,555,0.00380074508300005,4.0016,0.9878,16.2104
THAP10,flexnonsyn,0.0917,146157,2,0.0150375939849624,554,0.00379389689366132,4.0089,0.9896,16.2399
DUSP28,flexnonsyn,0.0917,146157,2,0.0150375939849624,554,0.00379389689366132,4.0089,0.9896,16.2399
QDPR,flexnonsyn,0.0914,146157,2,0.0150375939849624,553,0.00378704870432258,4.0162,0.9914,16.2694
YEATS4,flexnonsyn,0.0912,146157,1,0.0075187969924812,104,0.000712211691228839,10.6294,1.4723,76.7385
TSN,flexnonsyn,0.0912,146157,1,0.0075187969924812,104,0.000712211691228839,10.6294,1.4723,76.7385
KANK1,flexnonsyn,0.0912,146157,7,0.0526315789473684,3834,0.0262559579247247,2.0604,0.9618,4.4135
CALD1,flexnonsyn,0.091,146157,3,0.0225563909774436,1163,0.00796444420095327,2.8744,0.9138,9.0421
C11ORF53,flexnonsyn,0.0905,146157,2,0.0150375939849624,550,0.00376650413630636,4.0381,0.9968,16.3587
ARL5B,flexnonsyn,0.0904,146157,1,0.0075187969924812,103,0.0007053635018901,10.7326,1.4865,77.4911
DEPDC5,flexnonsyn,0.0904,146157,5,0.037593984962406,2601,0.0178121404700597,2.154,0.8807,5.268
RNPEP,flexnonsyn,0.0903,146157,3,0.0225563909774436,1159,0.00793705144359831,2.8844,0.9169,9.0736
KHDRBS3,flexnonsyn,0.0903,146157,2,0.0150375939849624,549,0.00375965594696762,4.0455,0.9986,16.3887
ABHD1,flexnonsyn,0.0903,146157,3,0.0225563909774436,1159,0.00793705144359831,2.8844,0.9169,9.0736
PCDHGB5,flexnonsyn,0.0902,146157,4,0.0300751879699248,1852,0.0126828466553443,2.4138,0.8914,6.5362
GLB1L3,flexnonsyn,0.0902,146157,3,0.0225563909774436,1158,0.00793020325425957,2.8869,0.9177,9.0815
MAP7D2,flexnonsyn,0.09,146157,3,0.0225563909774436,1157,0.00792335506492083,2.8894,0.9185,9.0894
GYG1,flexnonsyn,0.09,146157,3,0.0225563909774436,1157,0.00792335506492083,2.8894,0.9185,9.0894
MS4A15,flexnonsyn,0.0897,146157,2,0.0150375939849624,547,0.00374595956829014,4.0604,1.0023,16.449
OR1C1,flexnonsyn,0.0897,146157,2,0.0150375939849624,547,0.00374595956829014,4.0604,1.0023,16.449
PDIA5,flexnonsyn,0.0896,146157,3,0.0225563909774436,1155,0.00790965868624336,2.8945,0.9201,9.1053
GJB2,flexnonsyn,0.0895,146157,3,0.0225563909774436,1154,0.00790281049690462,2.897,0.9209,9.1133
C10ORF113,flexnonsyn,0.0894,146157,2,0.0150375939849624,546,0.00373911137895141,4.0678,1.0041,16.4793
ELMO1,flexnonsyn,0.0892,146157,2,0.0150375939849624,545,0.00373226318961267,4.0753,1.006,16.5097
VCPIP1,flexnonsyn,0.0891,146157,3,0.0225563909774436,1152,0.00788911411822714,2.9021,0.9225,9.1293
KLC3,flexnonsyn,0.0891,146157,4,0.0300751879699248,1844,0.0126280611406344,2.4245,0.8954,6.5649
SPAG9,flexnonsyn,0.0889,146157,5,0.037593984962406,2587,0.0177162658193174,2.1658,0.8856,5.297
CCT3,flexnonsyn,0.0889,146157,2,0.0150375939849624,544,0.00372541500027393,4.0828,1.0078,16.5403
ZNF497,flexnonsyn,0.0889,146157,4,0.0300751879699248,1842,0.0126143647619569,2.4271,0.8963,6.5722
ZNF790,flexnonsyn,0.0889,146157,3,0.0225563909774436,1151,0.0078822659288884,2.9046,0.9233,9.1373
DUXA,flexnonsyn,0.0889,146157,2,0.0150375939849624,544,0.00372541500027393,4.0828,1.0078,16.5403
KCNK16,flexnonsyn,0.0889,146157,3,0.0225563909774436,1151,0.0078822659288884,2.9046,0.9233,9.1373
HEATR9,flexnonsyn,0.0888,146157,3,0.0225563909774436,1150,0.00787541773954966,2.9072,0.9242,9.1453
TTF2,flexnonsyn,0.0886,146157,4,0.0300751879699248,1840,0.0126006683832795,2.4298,0.8973,6.5794
PROKR2,flexnonsyn,0.0886,146157,3,0.0225563909774436,1149,0.00786856955021092,2.9097,0.925,9.1533
YARS,flexnonsyn,0.0883,146157,2,0.0150375939849624,542,0.00371171862159645,4.098,1.0115,16.6017
DYNAP,flexnonsyn,0.0883,146157,2,0.0150375939849624,542,0.00371171862159645,4.098,1.0115,16.6017
CCDC88C,flexnonsyn,0.0882,146157,8,0.0601503759398496,4857,0.0332616556182545,1.8601,0.9096,3.8039
MAP2K2,flexnonsyn,0.0881,146157,2,0.0150375939849624,541,0.00370487043225771,4.1056,1.0134,16.6326
KRBA1,flexnonsyn,0.0881,146157,5,0.037593984962406,2580,0.0176683284939462,2.1718,0.888,5.3117
ETFA,flexnonsyn,0.0881,146157,2,0.0150375939849624,541,0.00370487043225771,4.1056,1.0134,16.6326
C3AR1,flexnonsyn,0.0879,146157,3,0.0225563909774436,1145,0.00784117679285597,2.92,0.9282,9.1856
TMPRSS4,flexnonsyn,0.0879,146157,3,0.0225563909774436,1145,0.00784117679285597,2.92,0.9282,9.1856
WDFY4,flexnonsyn,0.0878,146157,10,0.075187969924812,6431,0.0440407056374295,1.7647,0.9259,3.3635
